,word,count,sentiment
311,without,77,positive
312,warmly,77,positive
313,left,75,positive
314,contact,75,positive
315,greek,75,positive
316,whole,75,positive
317,things,75,positive
318,looks,75,positive
319,kids,74,positive
320,having,74,positive
321,nothing,74,negative
322,asked,73,positive
323,inside,73,positive
324,setting,73,positive
325,bright,73,positive
326,liked,72,positive
327,families,72,positive
328,them,72,positive
329,first,71,positive
330,kindness,71,positive
331,cretan,70,positive
332,mountains,70,positive
333,arrived,70,positive
334,paradise,70,positive
335,hot,70,positive
336,traditional,70,positive
337,taverna,69,positive
338,anything,68,positive
339,airpo,68,positive
340,tavernas,68,positive
341,surroundings,68,positive
342,real,68,positive
343,island,68,positive
344,longer,68,positive
345,shops,67,positive
346,before,67,positive
347,equiped,67,positive
348,magnificent,67,positive
349,eleni,67,positive
350,exploring,67,positive
351,communicative,67,positive
352,use,67,positive
353,neighborhood,67,positive
354,communicate,66,positive
355,polite,65,positive
356,nights,65,positive
357,visiting,65,positive
358,cleaning,65,positive
359,drive,65,positive
360,reach,64,positive
361,worst,64,negative
362,details,63,positive
363,stars,63,positive
364,appreciated,62,positive
365,clear,62,positive
366,stelios,62,positive
367,advice,61,positive
368,work,61,positive
369,ask,61,positive
370,marias,61,positive
371,free,61,positive
372,recommand,60,positive
373,him,60,positive
374,recommendation,59,positive
375,sleep,59,positive
376,authentic,59,positive
377,designed,59,positive
378,quality,58,positive
379,antonis,58,positive
380,wine,57,positive
381,lady,57,positive
382,helpfull,57,positive
383,environment,57,positive
384,recommendable,56,positive
385,questions,56,positive
386,base,56,positive
387,down,56,positive
388,thoroughly,56,positive
389,wife,56,positive
390,front,55,positive
391,minute,55,positive
392,brand,54,positive
393,group,53,positive
394,rest,53,positive
395,interior,53,positive
396,leave,53,positive
397,enjoyable,52,positive
398,bus,52,positive
399,kostas,52,positive
400,patio,52,positive
401,min,51,positive
402,though,51,positive
403,bedroom,51,positive
404,then,51,positive
405,equipment,50,positive
406,sunsets,50,positive
407,say,50,positive
408,into,50,positive
409,booked,50,positive
410,another,50,positive
411,suppo,50,positive
412,basic,50,positive
413,high,49,positive
414,needs,49,positive
415,style,49,positive
416,giorgos,49,positive
417,response,48,positive
418,coming,48,positive
419,eva,48,positive
420,smell,48,positive
421,within,48,positive
422,throughout,48,positive
423,easily,48,positive
424,worked,48,positive
425,off,48,positive
426,furniture,47,positive
427,ocean,47,positive
428,michalis,47,positive
429,privacy,47,positive
430,booking,47,positive
431,mother,46,positive
432,neat,46,positive
433,living,46,positive
434,decoration,46,positive
435,comfo,46,positive
436,terrible,46,positive
437,sta,46,positive
438,1,46,positive
439,interesting,46,positive
440,guy,46,positive
441,long,46,positive
442,peace,45,positive
443,maintained,45,positive
444,greece,45,positive
445,true,45,positive
446,wanted,45,positive
447,completely,45,positive
448,while,44,positive
449,adveised,44,positive
450,gracious,44,positive
451,unique,44,positive
452,etc,44,positive
453,lefteris,44,positive
454,renovated,44,positive
455,thought,44,positive
456,confoable,44,positive
457,wow,43,positive
458,olive,43,positive
459,surrounding,43,positive
460,kept,43,positive
461,friend,43,positive
462,ceainly,43,positive
463,hosting,43,positive
464,reception,43,positive
465,plenty,43,positive
466,description,43,positive
467,terrasse,42,positive
468,condition,42,positive
469,romantic,42,positive
470,makes,42,positive
471,making,42,positive
472,weve,41,positive
473,middle,41,positive
474,everywhere,41,positive
475,mountain,41,positive
476,positive,41,positive
477,working,41,positive
478,professional,41,positive
479,anna,40,positive
480,late,40,positive
481,reactive,40,positive
482,coffee,40,positive
483,bay,40,positive
484,getaway,39,positive
485,fun,39,positive
486,team,39,positive
487,spectacular,39,positive
488,bonus,39,positive
489,husband,39,positive
490,jacuzzi,39,positive
491,second,39,positive
492,couples,38,positive
493,attention,38,positive
494,conditioning,38,positive
495,wasnt,38,positive
496,am,38,positive
497,doesnt,38,positive
498,life,38,positive
499,windows,38,positive
500,same,38,positive
501,advices,38,positive
502,overlooking,38,positive
503,secluded,37,positive
504,mary,37,positive
505,expect,37,positive
506,centrally,37,positive
507,moment,37,positive
508,above,37,positive
509,christina,37,positive
510,eirini,37,positive
511,received,37,positive
512,dream,37,positive
513,between,37,positive
514,terrific,37,positive
515,accommodations,37,positive
516,placed,36,positive
517,quickly,36,positive
518,fridge,36,positive
519,appointed,36,positive
520,gentle,36,positive
521,organized,36,positive
522,something,36,positive
523,think,36,positive
524,through,36,positive
525,cannot,35,positive
526,wait,35,positive
527,andreas,35,positive
528,chill,35,positive
529,internet,35,positive
530,spotless,35,positive
531,christos,35,positive
532,met,35,positive
533,villas,35,positive
534,point,35,positive
535,apaament,34,positive
536,homemade,34,positive
537,raki,34,positive
538,offered,34,positive
539,problem,34,positive
540,already,34,positive
541,wonderfully,34,positive
542,satisfied,34,positive
543,however,34,positive
544,light,34,positive
545,children,34,positive
546,know,34,positive
547,exceptional,34,positive
548,answer,33,positive
549,sunny,33,positive
550,enjoying,33,positive
551,actually,33,positive
552,bnb,33,positive
553,look,33,negative
554,does,33,positive
555,end,33,positive
556,delightful,33,positive
557,meet,33,positive
558,must,33,positive
559,guest,33,positive
560,someone,33,positive
561,eat,33,positive
562,gift,32,positive
563,different,32,positive
564,looked,32,positive
565,landscape,32,positive
566,adorable,32,positive
567,machine,32,positive
568,directly,32,positive
569,sofia,32,positive
570,cleanliness,32,positive
571,last,32,positive
572,u,31,positive
573,gem,31,positive
574,giving,31,positive
575,surely,31,positive
576,issues,31,positive
577,vasilis,31,positive
578,hand,31,positive
579,ioannis,31,positive
580,five,30,positive
581,yet,30,positive
582,evening,30,positive
583,run,30,positive
584,hours,30,positive
585,others,30,positive
586,attractions,30,positive
587,shared,30,positive
588,energy,30,positive
589,try,29,positive
590,summer,29,positive
591,georgios,29,positive
592,everybody,29,positive
593,cottage,29,positive
594,stuff,29,positive
595,touch,29,positive
596,respond,29,positive
597,weather,29,positive
598,charm,29,positive
599,functional,29,positive
600,brhighly,29,positive
601,size,29,positive
602,15,29,positive
603,road,28,positive
604,deal,28,positive
605,fruit,28,positive
606,remote,28,positive
607,tavern,28,positive
608,used,28,positive
609,almost,28,positive
610,bhank,28,positive
611,seaview,28,positive
612,beyond,28,positive
613,travel,28,positive
614,possible,28,positive
615,locals,28,positive
616,yannis,28,positive
617,feeling,28,positive
618,tranquil,27,positive
619,exceptionally,27,positive
620,dog,27,positive
621,trees,27,positive
622,prepared,27,positive
623,natural,27,positive
624,seen,27,positive
625,accessible,27,positive
626,yard,27,positive
627,tiny,27,positive
628,georgia,27,positive
629,konstantinos,27,positive
630,brbhe,27,positive
631,magical,27,positive
632,hesitation,26,positive
633,lively,26,positive
634,sit,26,positive
635,treats,26,positive
636,detail,26,positive
637,parents,26,positive
638,cake,26,positive
639,since,26,positive
640,until,26,positive
641,offer,26,positive
642,washing,26,positive
643,window,26,positive
644,plus,26,positive
645,wonderfull,26,positive
646,now,26,positive
647,mins,26,positive
648,conditions,26,positive
649,future,26,positive
650,id,26,positive
651,stocked,26,positive
652,hesitate,25,positive
653,dimitri,25,positive
654,okay,25,positive
655,organised,25,positive
656,called,25,positive
657,picturesque,25,positive
658,cook,25,positive
659,fruits,24,positive
660,surrounded,24,positive
661,helping,24,positive
662,miss,24,positive
663,sun,24,positive
664,wellequipped,24,positive
665,across,24,positive
666,woman,24,positive
667,downstairs,24,positive
668,gifts,24,positive
669,smooth,24,positive
670,agios,24,positive
671,works,24,positive
672,paid,24,positive
673,own,24,positive
674,suppoive,24,positive
